timestamp,orientation
2025-03-11 23:43:31.015,0.06
2025-03-11 23:43:31.577,0.15
2025-03-11 23:43:31.746,0.09
2025-03-11 23:43:32.210,0.13
2025-03-11 23:43:32.275,0.07
2025-03-11 23:43:32.544,0.03
2025-03-11 23:43:32.609,0.07
2025-03-11 23:43:32.876,0.11
2025-03-11 23:43:33.146,0.17
2025-03-11 23:43:33.242,0.11
2025-03-11 23:43:33.378,0.06
2025-03-11 23:43:33.577,0.09
2025-03-11 23:43:33.645,0.13
2025-03-11 23:43:33.845,0.10
2025-03-11 23:43:34.013,0.07
2025-03-11 23:43:34.209,0.13
2025-03-11 23:43:34.276,0.06
2025-03-11 23:43:34.478,0.12
2025-03-11 23:43:34.782,0.17
2025-03-11 23:43:35.176,0.22
2025-03-11 23:43:35.276,0.16
2025-03-11 23:43:35.455,0.08
2025-03-11 23:43:35.542,0.03
2025-03-11 23:43:35.778,0.06
2025-03-11 23:43:35.944,0.10
2025-03-11 23:43:36.145,0.13
2025-03-11 23:43:36.244,0.16
2025-03-11 23:43:36.375,0.20
2025-03-11 23:43:36.508,0.15
2025-03-11 23:43:36.573,0.11
2025-03-11 23:43:36.642,0.14
2025-03-11 23:43:37.109,0.09
2025-03-11 23:43:37.274,0.04
2025-03-11 23:43:37.406,-0.01
2025-03-11 23:43:37.540,-0.05
2025-03-11 23:43:37.741,0.03
2025-03-11 23:43:37.810,0.09
2025-03-11 23:43:37.914,0.16
2025-03-11 23:43:38.313,0.09
2025-03-11 23:43:38.378,0.02
2025-03-11 23:43:38.545,-0.09
2025-03-11 23:43:38.644,-0.13
2025-03-11 23:43:38.743,-0.08
2025-03-11 23:43:38.810,-0.04
2025-03-11 23:43:39.011,0.10
2025-03-11 23:43:39.545,0.10
2025-03-11 23:43:39.641,0.04
2025-03-11 23:43:39.773,0.08
2025-03-11 23:43:39.903,-0.00
2025-03-11 23:43:40.041,0.05
2025-03-11 23:43:40.211,-0.01
2025-03-11 23:43:40.308,0.08
2025-03-11 23:43:40.442,0.03
2025-03-11 23:43:40.544,-0.07
2025-03-11 23:43:40.645,-0.01
2025-03-11 23:43:40.742,-0.11
2025-03-11 23:43:40.807,-0.25
2025-03-11 23:43:40.874,-0.35
2025-03-11 23:43:41.078,-0.40
2025-03-11 23:43:41.274,-0.29
2025-03-11 23:43:41.478,-0.33
2025-03-11 23:43:41.641,-0.30
2025-03-11 23:43:41.943,-0.21
2025-03-11 23:43:42.111,-0.15
2025-03-11 23:43:42.208,-0.21
2025-03-11 23:43:42.308,-0.28
2025-03-11 23:43:42.474,-0.34
2025-03-11 23:43:42.543,-0.41
2025-03-11 23:43:42.739,-0.30
2025-03-11 23:43:42.804,-0.35
2025-03-11 23:43:42.870,-0.29
2025-03-11 23:43:42.936,-0.25
2025-03-11 23:43:43.175,-0.17
2025-03-11 23:43:43.276,-0.21
2025-03-11 23:43:43.341,-0.27
2025-03-11 23:43:43.408,-0.31
